,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0
1,0.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
5,2.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0
6,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0
7,1.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0
8,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0
10,0.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,5.0,0.0,2.0,0.0,1.0,2.0
11,3.0,0.0,5.0,0.0,0.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,6.0,5.0,6.0,1.0,3.0,1.0,2.0,2.0
12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
14,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
16,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,3.0,4.0,0.0,2.0,0.0,4.0,0.0
17,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
18,2.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20,1.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0
23,3.0,0.0,1.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,7.0,1.0
24,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0
25,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0
26,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0
27,3.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0
28,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,3.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0
