variable,run_name,split,lambda_option,job_id,out_path
0.25,SCoNE,tune,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_0
0.25,SCoNE,tune,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_1
0.25,SCoNE,tune,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_2
0.25,SCoNE,tune,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_3
0.25,SCoNE,tune,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_4
0.25,SCoNE,tune,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_5
0.25,SCoNE,tune,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_6
0.5,SCoNE,tune,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_7
0.5,SCoNE,tune,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_8
0.5,SCoNE,tune,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_9
0.5,SCoNE,tune,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_10
0.5,SCoNE,tune,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_11
0.5,SCoNE,tune,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_12
0.5,SCoNE,tune,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_13
0.75,SCoNE,tune,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_14
0.75,SCoNE,tune,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_15
0.75,SCoNE,tune,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_16
0.75,SCoNE,tune,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_17
0.75,SCoNE,tune,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_18
0.75,SCoNE,tune,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_19
0.75,SCoNE,tune,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_20
1.0,SCoNE,tune,0.0,21,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_21
1.0,SCoNE,tune,0.0001,22,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_22
1.0,SCoNE,tune,0.001,23,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_23
1.0,SCoNE,tune,0.01,24,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_24
1.0,SCoNE,tune,0.1,25,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_25
1.0,SCoNE,tune,1.0,26,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_26
1.0,SCoNE,tune,10.0,27,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_27
1.5,SCoNE,tune,0.0,28,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_28
1.5,SCoNE,tune,0.0001,29,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_29
1.5,SCoNE,tune,0.001,30,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_30
1.5,SCoNE,tune,0.01,31,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_31
1.5,SCoNE,tune,0.1,32,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_32
1.5,SCoNE,tune,1.0,33,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_33
1.5,SCoNE,tune,10.0,34,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_34
2.0,SCoNE,tune,0.0,35,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_35
2.0,SCoNE,tune,0.0001,36,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_36
2.0,SCoNE,tune,0.001,37,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_37
2.0,SCoNE,tune,0.01,38,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_38
2.0,SCoNE,tune,0.1,39,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_39
2.0,SCoNE,tune,1.0,40,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_40
2.0,SCoNE,tune,10.0,41,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_41
0.25,SCoNE,train,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_0
0.25,SCoNE,train,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_1
0.25,SCoNE,train,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_2
0.25,SCoNE,train,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_3
0.25,SCoNE,train,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_4
0.25,SCoNE,train,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_5
0.25,SCoNE,train,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_6
0.5,SCoNE,train,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_7
0.5,SCoNE,train,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_8
0.5,SCoNE,train,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_9
0.5,SCoNE,train,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_10
0.5,SCoNE,train,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_11
0.5,SCoNE,train,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_12
0.5,SCoNE,train,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_13
0.75,SCoNE,train,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_14
0.75,SCoNE,train,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_15
0.75,SCoNE,train,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_16
0.75,SCoNE,train,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_17
0.75,SCoNE,train,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_18
0.75,SCoNE,train,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_19
0.75,SCoNE,train,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_20
1.0,SCoNE,train,0.0,21,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_21
1.0,SCoNE,train,0.0001,22,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_22
1.0,SCoNE,train,0.001,23,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_23
1.0,SCoNE,train,0.01,24,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_24
1.0,SCoNE,train,0.1,25,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_25
1.0,SCoNE,train,1.0,26,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_26
1.0,SCoNE,train,10.0,27,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_27
1.5,SCoNE,train,0.0,28,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_28
1.5,SCoNE,train,0.0001,29,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_29
1.5,SCoNE,train,0.001,30,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_30
1.5,SCoNE,train,0.01,31,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_31
1.5,SCoNE,train,0.1,32,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_32
1.5,SCoNE,train,1.0,33,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_33
1.5,SCoNE,train,10.0,34,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_34
2.0,SCoNE,train,0.0,35,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_35
2.0,SCoNE,train,0.0001,36,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_36
2.0,SCoNE,train,0.001,37,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_37
2.0,SCoNE,train,0.01,38,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_38
2.0,SCoNE,train,0.1,39,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_39
2.0,SCoNE,train,1.0,40,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_40
2.0,SCoNE,train,10.0,41,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_41
