out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_0,0.25,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,29.930783173069358
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_1,0.25,SCoNE,1,0.0001,169.0,0.0001,0.0001,0.0001,3,50,1,58.83586040697992
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_2,0.25,SCoNE,2,0.001,169.0,0.001,0.001,0.001,3,50,1,56.35209790058434
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_3,0.25,SCoNE,3,0.01,169.0,0.01,0.01,0.01,3,50,1,58.09278044849634
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_4,0.25,SCoNE,4,0.1,169.0,0.1,0.1,0.1,3,50,1,48.55415301583707
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_5,0.25,SCoNE,5,1.0,169.0,1.0,1.0,1.0,3,50,1,28.71789025887847
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_6,0.25,SCoNE,6,10.0,169.0,10.0,10.0,10.0,3,50,1,19.952254429459572
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_7,0.5,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,34.567040929570794
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_8,0.5,SCoNE,8,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,63.63526567444205
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_9,0.5,SCoNE,9,0.001,225.0,0.001,0.001,0.001,3,50,1,62.720848210155964
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_10,0.5,SCoNE,10,0.01,225.0,0.01,0.01,0.01,3,50,1,60.44570220075548
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_11,0.5,SCoNE,11,0.1,225.0,0.1,0.1,0.1,3,50,1,49.26577021367848
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_12,0.5,SCoNE,12,1.0,225.0,1.0,1.0,1.0,3,50,1,30.124382507055998
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_13,0.5,SCoNE,13,10.0,225.0,10.0,10.0,10.0,3,50,1,19.967087112367153
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_14,0.75,SCoNE,14,0.0,0.0,0.0,0.0,0.0,3,50,1,37.11863361299038
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_15,0.75,SCoNE,15,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,70.94413299299777
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_16,0.75,SCoNE,16,0.001,225.0,0.001,0.001,0.001,3,50,1,71.0931910853833
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_17,0.75,SCoNE,17,0.01,225.0,0.01,0.01,0.01,3,50,1,72.69085529074073
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_18,0.75,SCoNE,18,0.1,225.0,0.1,0.1,0.1,3,50,1,56.46486556716263
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_19,0.75,SCoNE,19,1.0,225.0,1.0,1.0,1.0,3,50,1,34.52532454766333
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_20,0.75,SCoNE,20,10.0,225.0,10.0,10.0,10.0,3,50,1,24.482235364615917
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_21,1.0,SCoNE,21,0.0,0.0,0.0,0.0,0.0,3,50,1,41.019115552306175
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_22,1.0,SCoNE,22,0.0001,289.0,0.0001,0.0001,0.0001,3,50,1,63.12627609819174
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_train_23,1.0,SCoNE,23,0.001,289.0,0.001,0.001,0.001,3,50,1,62.52698735333979
