out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_0,0.25,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,32.862025275826454
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_1,0.25,SCoNE,1,0.0001,169.0,0.0001,0.0001,0.0001,3,50,1,60.85397192649543
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_2,0.25,SCoNE,2,0.001,169.0,0.001,0.001,0.001,3,50,1,61.46805647946894
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_3,0.25,SCoNE,3,0.01,169.0,0.01,0.01,0.01,3,50,1,59.45131937973201
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_4,0.25,SCoNE,4,0.1,169.0,0.1,0.1,0.1,3,50,1,49.22455423697829
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_5,0.25,SCoNE,5,1.0,169.0,1.0,1.0,1.0,3,50,1,29.257059279829264
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_6,0.25,SCoNE,6,10.0,169.0,10.0,10.0,10.0,3,50,1,22.497841922566295
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_7,0.5,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,30.82254541479051
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_8,0.5,SCoNE,8,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,64.47779143415391
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_9,0.5,SCoNE,9,0.001,196.0,0.001,0.001,0.001,3,50,1,62.47840725630522
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_10,0.5,SCoNE,10,0.01,196.0,0.01,0.01,0.01,3,50,1,63.30259242840111
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_11,0.5,SCoNE,11,0.1,196.0,0.1,0.1,0.1,3,50,1,51.0674711111933
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_12,0.5,SCoNE,12,1.0,196.0,1.0,1.0,1.0,3,50,1,33.35433764383197
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_13,0.5,SCoNE,13,10.0,196.0,10.0,10.0,10.0,3,50,1,21.067686550319195
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_14,0.75,SCoNE,14,0.0,0.0,0.0,0.0,0.0,3,50,1,38.71657772734761
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_15,0.75,SCoNE,15,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,65.36802880838513
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_16,0.75,SCoNE,16,0.001,196.0,0.001,0.001,0.001,3,50,1,61.4561576154083
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_17,0.75,SCoNE,17,0.01,196.0,0.01,0.01,0.01,3,50,1,60.4039345625788
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_18,0.75,SCoNE,18,0.1,196.0,0.1,0.1,0.1,3,50,1,51.883150909096
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_19,0.75,SCoNE,19,1.0,196.0,1.0,1.0,1.0,3,50,1,37.77697464823723
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_20,0.75,SCoNE,20,10.0,196.0,10.0,10.0,10.0,3,50,1,24.197652459144592
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_21,1.0,SCoNE,21,0.0,0.0,0.0,0.0,0.0,3,50,1,39.329743498936296
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_22,1.0,SCoNE,22,0.0001,256.0,0.0001,0.0001,0.0001,3,50,1,68.9762708786875
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_23,1.0,SCoNE,23,0.001,256.0,0.001,0.001,0.001,3,50,1,68.76471855305135
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/ZU_weight_tune_24,1.0,SCoNE,24,0.01,256.0,0.01,0.01,0.01,3,50,1,66.97358782216907
