variable,run_name,split,lambda_option,job_id,out_path
0.0,SCoNE,tune,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_0
0.0,SCoNE,tune,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_1
0.0,SCoNE,tune,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_2
0.0,SCoNE,tune,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_3
0.0,SCoNE,tune,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_4
0.0,SCoNE,tune,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_5
0.0,SCoNE,tune,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_6
0.5,SCoNE,tune,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_7
0.5,SCoNE,tune,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_8
0.5,SCoNE,tune,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_9
0.5,SCoNE,tune,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_10
0.5,SCoNE,tune,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_11
0.5,SCoNE,tune,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_12
0.5,SCoNE,tune,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_13
1.0,SCoNE,tune,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_14
1.0,SCoNE,tune,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_15
1.0,SCoNE,tune,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_16
1.0,SCoNE,tune,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_17
1.0,SCoNE,tune,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_18
1.0,SCoNE,tune,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_19
1.0,SCoNE,tune,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_20
0.0,SCoNE,train,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_0
0.0,SCoNE,train,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_1
0.0,SCoNE,train,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_2
0.0,SCoNE,train,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_3
0.0,SCoNE,train,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_4
0.0,SCoNE,train,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_5
0.0,SCoNE,train,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_6
0.5,SCoNE,train,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_7
0.5,SCoNE,train,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_8
0.5,SCoNE,train,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_9
0.5,SCoNE,train,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_10
0.5,SCoNE,train,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_11
0.5,SCoNE,train,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_12
0.5,SCoNE,train,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_13
1.0,SCoNE,train,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_14
1.0,SCoNE,train,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_15
1.0,SCoNE,train,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_16
1.0,SCoNE,train,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_17
1.0,SCoNE,train,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_18
1.0,SCoNE,train,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_19
1.0,SCoNE,train,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_20
