out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_0,0.0,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,37.679077288135886
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_1,0.0,SCoNE,1,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,63.670762026682496
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_2,0.0,SCoNE,2,0.001,196.0,0.001,0.001,0.001,3,50,1,58.2355499882251
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_3,0.0,SCoNE,3,0.01,196.0,0.01,0.01,0.01,3,50,1,63.723990838974714
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_4,0.0,SCoNE,4,0.1,196.0,0.1,0.1,0.1,3,50,1,53.213754422962666
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_5,0.0,SCoNE,5,1.0,196.0,1.0,1.0,1.0,3,50,1,34.81065577082336
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_6,0.0,SCoNE,6,10.0,196.0,10.0,10.0,10.0,3,50,1,20.549792531877756
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_7,0.5,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,32.10386678390205
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_8,0.5,SCoNE,8,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,64.12351353652775
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_9,0.5,SCoNE,9,0.001,225.0,0.001,0.001,0.001,3,50,1,61.70138622634113
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_10,0.5,SCoNE,10,0.01,225.0,0.01,0.01,0.01,3,50,1,59.87047422863543
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_11,0.5,SCoNE,11,0.1,225.0,0.1,0.1,0.1,3,50,1,49.821071496233344
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_12,0.5,SCoNE,12,1.0,225.0,1.0,1.0,1.0,3,50,1,32.283945767208934
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_13,0.5,SCoNE,13,10.0,225.0,10.0,10.0,10.0,3,50,1,21.12028849311173
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_14,1.0,SCoNE,14,0.0,0.0,0.0,0.0,0.0,3,50,1,30.523347405716777
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_15,1.0,SCoNE,15,0.0001,256.0,0.0001,0.0001,0.0001,3,50,1,54.22969366051257
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_16,1.0,SCoNE,16,0.001,256.0,0.001,0.001,0.001,3,50,1,43.71684907749295
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_17,1.0,SCoNE,17,0.01,256.0,0.01,0.01,0.01,3,50,1,50.672811821103096
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_18,1.0,SCoNE,18,0.1,256.0,0.1,0.1,0.1,3,50,1,27.108154445886612
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_19,1.0,SCoNE,19,1.0,256.0,1.0,1.0,1.0,3,50,1,20.50071536563337
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_train_20,1.0,SCoNE,20,10.0,256.0,10.0,10.0,10.0,3,50,1,14.94975932314992
