out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_0,0.0,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,35.89957192912698
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_1,0.0,SCoNE,1,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,65.79204450920224
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_2,0.0,SCoNE,2,0.001,225.0,0.001,0.001,0.001,3,50,1,65.64864174835384
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_3,0.0,SCoNE,3,0.01,225.0,0.01,0.01,0.01,3,50,1,61.84273344837129
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_4,0.0,SCoNE,4,0.1,225.0,0.1,0.1,0.1,3,50,1,52.20608865097165
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_5,0.0,SCoNE,5,1.0,225.0,1.0,1.0,1.0,3,50,1,32.96153227239847
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_6,0.0,SCoNE,6,10.0,225.0,10.0,10.0,10.0,3,50,1,19.56410627439618
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_7,0.5,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,33.36140502989292
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_8,0.5,SCoNE,8,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,53.84502576291561
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_9,0.5,SCoNE,9,0.001,196.0,0.001,0.001,0.001,3,50,1,64.53046181052923
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_10,0.5,SCoNE,10,0.01,196.0,0.01,0.01,0.01,3,50,1,55.592643896117806
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_11,0.5,SCoNE,11,0.1,196.0,0.1,0.1,0.1,3,50,1,47.60723818093538
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_12,0.5,SCoNE,12,1.0,196.0,1.0,1.0,1.0,3,50,1,33.79019775800407
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_13,0.5,SCoNE,13,10.0,196.0,10.0,10.0,10.0,3,50,1,19.738946015015244
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_14,1.0,SCoNE,14,0.0,0.0,0.0,0.0,0.0,3,50,1,30.328215984627604
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_15,1.0,SCoNE,15,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,57.07380994968116
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_16,1.0,SCoNE,16,0.001,225.0,0.001,0.001,0.001,3,50,1,53.156581964343786
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_17,1.0,SCoNE,17,0.01,225.0,0.01,0.01,0.01,3,50,1,44.63416928239167
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_18,1.0,SCoNE,18,0.1,225.0,0.1,0.1,0.1,3,50,1,41.25341777689755
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_19,1.0,SCoNE,19,1.0,225.0,1.0,1.0,1.0,3,50,1,18.93745338357985
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/noise_tune_20,1.0,SCoNE,20,10.0,225.0,10.0,10.0,10.0,3,50,1,14.973463049158454
