variable,run_name,split,lambda_option,job_id,out_path
0.1,SCoNE,tune,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_0
0.1,SCoNE,tune,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_1
0.1,SCoNE,tune,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_2
0.1,SCoNE,tune,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_3
0.1,SCoNE,tune,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_4
0.1,SCoNE,tune,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_5
0.1,SCoNE,tune,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_6
0.2,SCoNE,tune,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_7
0.2,SCoNE,tune,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_8
0.2,SCoNE,tune,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_9
0.2,SCoNE,tune,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_10
0.2,SCoNE,tune,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_11
0.2,SCoNE,tune,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_12
0.2,SCoNE,tune,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_13
0.3,SCoNE,tune,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_14
0.3,SCoNE,tune,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_15
0.3,SCoNE,tune,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_16
0.3,SCoNE,tune,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_17
0.3,SCoNE,tune,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_18
0.3,SCoNE,tune,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_19
0.3,SCoNE,tune,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_20
0.4,SCoNE,tune,0.0,21,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_21
0.4,SCoNE,tune,0.0001,22,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_22
0.4,SCoNE,tune,0.001,23,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_23
0.4,SCoNE,tune,0.01,24,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_24
0.4,SCoNE,tune,0.1,25,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_25
0.4,SCoNE,tune,1.0,26,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_26
0.4,SCoNE,tune,10.0,27,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_27
0.5,SCoNE,tune,0.0,28,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_28
0.5,SCoNE,tune,0.0001,29,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_29
0.5,SCoNE,tune,0.001,30,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_30
0.5,SCoNE,tune,0.01,31,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_31
0.5,SCoNE,tune,0.1,32,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_32
0.5,SCoNE,tune,1.0,33,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_33
0.5,SCoNE,tune,10.0,34,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_34
0.6,SCoNE,tune,0.0,35,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_35
0.6,SCoNE,tune,0.0001,36,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_36
0.6,SCoNE,tune,0.001,37,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_37
0.6,SCoNE,tune,0.01,38,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_38
0.6,SCoNE,tune,0.1,39,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_39
0.6,SCoNE,tune,1.0,40,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_40
0.6,SCoNE,tune,10.0,41,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_41
0.7,SCoNE,tune,0.0,42,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_42
0.7,SCoNE,tune,0.0001,43,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_43
0.7,SCoNE,tune,0.001,44,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_44
0.7,SCoNE,tune,0.01,45,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_45
0.7,SCoNE,tune,0.1,46,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_46
0.7,SCoNE,tune,1.0,47,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_47
0.7,SCoNE,tune,10.0,48,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_48
0.8,SCoNE,tune,0.0,49,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_49
0.8,SCoNE,tune,0.0001,50,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_50
0.8,SCoNE,tune,0.001,51,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_51
0.8,SCoNE,tune,0.01,52,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_52
0.8,SCoNE,tune,0.1,53,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_53
0.8,SCoNE,tune,1.0,54,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_54
0.8,SCoNE,tune,10.0,55,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_55
0.9,SCoNE,tune,0.0,56,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_56
0.9,SCoNE,tune,0.0001,57,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_57
0.9,SCoNE,tune,0.001,58,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_58
0.9,SCoNE,tune,0.01,59,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_59
0.9,SCoNE,tune,0.1,60,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_60
0.9,SCoNE,tune,1.0,61,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_61
0.9,SCoNE,tune,10.0,62,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_62
1.0,SCoNE,tune,0.0,63,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_63
1.0,SCoNE,tune,0.0001,64,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_64
1.0,SCoNE,tune,0.001,65,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_65
1.0,SCoNE,tune,0.01,66,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_66
1.0,SCoNE,tune,0.1,67,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_67
