out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_0,0.1,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,30.98426066339016
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_1,0.1,SCoNE,1,0.0001,169.0,0.0001,0.0001,0.0001,3,50,1,51.70712981559336
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_2,0.1,SCoNE,2,0.001,169.0,0.001,0.001,0.001,3,50,1,51.99338775128126
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_3,0.1,SCoNE,3,0.01,169.0,0.01,0.01,0.01,3,50,1,51.782220497727394
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_4,0.1,SCoNE,4,0.1,169.0,0.1,0.1,0.1,3,50,1,45.18324620462954
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_5,0.1,SCoNE,5,1.0,169.0,1.0,1.0,1.0,3,50,1,33.911082649603486
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_6,0.1,SCoNE,6,10.0,169.0,10.0,10.0,10.0,3,50,1,23.169559946283698
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_7,0.2,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,29.001261929050088
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_8,0.2,SCoNE,8,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,50.87403139844537
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_9,0.2,SCoNE,9,0.001,196.0,0.001,0.001,0.001,3,50,1,52.646735621616244
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_10,0.2,SCoNE,10,0.01,196.0,0.01,0.01,0.01,3,50,1,48.985054563730955
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_11,0.2,SCoNE,11,0.1,196.0,0.1,0.1,0.1,3,50,1,47.17751092649996
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_12,0.2,SCoNE,12,1.0,196.0,1.0,1.0,1.0,3,50,1,36.0998046156019
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_13,0.2,SCoNE,13,10.0,196.0,10.0,10.0,10.0,3,50,1,22.987036298960447
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_14,0.3,SCoNE,14,0.0,0.0,0.0,0.0,0.0,3,50,1,32.87745213881135
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_15,0.3,SCoNE,15,0.0001,144.0,0.0001,0.0001,0.0001,3,50,1,51.11268145404756
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_16,0.3,SCoNE,16,0.001,144.0,0.001,0.001,0.001,3,50,1,49.720650374889374
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_17,0.3,SCoNE,17,0.01,144.0,0.01,0.01,0.01,3,50,1,49.78827659599483
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_18,0.3,SCoNE,18,0.1,144.0,0.1,0.1,0.1,3,50,1,42.80573958903551
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_19,0.3,SCoNE,19,1.0,144.0,1.0,1.0,1.0,3,50,1,33.724699402228
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_20,0.3,SCoNE,20,10.0,144.0,10.0,10.0,10.0,3,50,1,26.082470912486315
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_21,0.4,SCoNE,21,0.0,0.0,0.0,0.0,0.0,3,50,1,29.419018933549523
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_22,0.4,SCoNE,22,0.0001,121.0,0.0001,0.0001,0.0001,3,50,1,47.80017980001867
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_23,0.4,SCoNE,23,0.001,121.0,0.001,0.001,0.001,3,50,1,47.18404299393296
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_24,0.4,SCoNE,24,0.01,121.0,0.01,0.01,0.01,3,50,1,46.73549005948007
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_25,0.4,SCoNE,25,0.1,121.0,0.1,0.1,0.1,3,50,1,41.748440532013774
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_26,0.4,SCoNE,26,1.0,121.0,1.0,1.0,1.0,3,50,1,31.723898753523827
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_27,0.4,SCoNE,27,10.0,121.0,10.0,10.0,10.0,3,50,1,28.289160573855042
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_28,0.5,SCoNE,28,0.0,0.0,0.0,0.0,0.0,3,50,1,30.179688239470124
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_29,0.5,SCoNE,29,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,58.9908716250211
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_30,0.5,SCoNE,30,0.001,225.0,0.001,0.001,0.001,3,50,1,58.795484371483326
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_31,0.5,SCoNE,31,0.01,225.0,0.01,0.01,0.01,3,50,1,55.934677854180336
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_32,0.5,SCoNE,32,0.1,225.0,0.1,0.1,0.1,3,50,1,45.744803285226226
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_33,0.5,SCoNE,33,1.0,225.0,1.0,1.0,1.0,3,50,1,31.01088922470808
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_34,0.5,SCoNE,34,10.0,225.0,10.0,10.0,10.0,3,50,1,21.024934127926826
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_35,0.6,SCoNE,35,0.0,0.0,0.0,0.0,0.0,3,50,1,29.209217555820942
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_36,0.6,SCoNE,36,0.0001,144.0,0.0001,0.0001,0.0001,3,50,1,48.61530566215515
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_37,0.6,SCoNE,37,0.001,144.0,0.001,0.001,0.001,3,50,1,47.14939860440791
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_38,0.6,SCoNE,38,0.01,144.0,0.01,0.01,0.01,3,50,1,48.840501487255096
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_39,0.6,SCoNE,39,0.1,144.0,0.1,0.1,0.1,3,50,1,40.33689227513969
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_40,0.6,SCoNE,40,1.0,144.0,1.0,1.0,1.0,3,50,1,32.7332368940115
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_41,0.6,SCoNE,41,10.0,144.0,10.0,10.0,10.0,3,50,1,27.311329590156674
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_42,0.7,SCoNE,42,0.0,0.0,0.0,0.0,0.0,3,50,1,31.306318689137697
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_43,0.7,SCoNE,43,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,63.46352703683078
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_44,0.7,SCoNE,44,0.001,225.0,0.001,0.001,0.001,3,50,1,60.39496366865933
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_45,0.7,SCoNE,45,0.01,225.0,0.01,0.01,0.01,3,50,1,59.133427791297436
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_46,0.7,SCoNE,46,0.1,225.0,0.1,0.1,0.1,3,50,1,47.861449386924505
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_47,0.7,SCoNE,47,1.0,225.0,1.0,1.0,1.0,3,50,1,30.254676055163145
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_48,0.7,SCoNE,48,10.0,225.0,10.0,10.0,10.0,3,50,1,19.284921633079648
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_49,0.8,SCoNE,49,0.0,0.0,0.0,0.0,0.0,3,50,1,32.36683521606028
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_50,0.8,SCoNE,50,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,65.5797847211361
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_51,0.8,SCoNE,51,0.001,225.0,0.001,0.001,0.001,3,50,1,63.909409968182445
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_52,0.8,SCoNE,52,0.01,225.0,0.01,0.01,0.01,3,50,1,63.762570556253195
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_53,0.8,SCoNE,53,0.1,225.0,0.1,0.1,0.1,3,50,1,50.71795771084726
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_54,0.8,SCoNE,54,1.0,225.0,1.0,1.0,1.0,3,50,1,30.165832683444023
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_55,0.8,SCoNE,55,10.0,225.0,10.0,10.0,10.0,3,50,1,21.378078930079937
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_56,0.9,SCoNE,56,0.0,0.0,0.0,0.0,0.0,3,50,1,33.15282686240971
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_57,0.9,SCoNE,57,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,59.07701766118407
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_58,0.9,SCoNE,58,0.001,225.0,0.001,0.001,0.001,3,50,1,60.060094479471445
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_59,0.9,SCoNE,59,0.01,225.0,0.01,0.01,0.01,3,50,1,53.679030479863286
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_60,0.9,SCoNE,60,0.1,225.0,0.1,0.1,0.1,3,50,1,44.0117094758898
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_61,0.9,SCoNE,61,1.0,225.0,1.0,1.0,1.0,3,50,1,29.20700599439442
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_62,0.9,SCoNE,62,10.0,225.0,10.0,10.0,10.0,3,50,1,18.828292479738593
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_train_63,1.0,SCoNE,63,0.0,0.0,0.0,0.0,0.0,3,50,1,32.884111335501075
