out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_0,0.1,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,29.339347368106246
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_1,0.1,SCoNE,1,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,65.12982660904527
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_2,0.1,SCoNE,2,0.001,225.0,0.001,0.001,0.001,3,50,1,64.415144700557
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_3,0.1,SCoNE,3,0.01,225.0,0.01,0.01,0.01,3,50,1,63.8499328866601
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_4,0.1,SCoNE,4,0.1,225.0,0.1,0.1,0.1,3,50,1,53.04157541319728
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_5,0.1,SCoNE,5,1.0,225.0,1.0,1.0,1.0,3,50,1,33.28471925854683
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_6,0.1,SCoNE,6,10.0,225.0,10.0,10.0,10.0,3,50,1,20.41985889337957
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_7,0.2,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,29.39515643566847
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_8,0.2,SCoNE,8,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,65.78423157148063
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_9,0.2,SCoNE,9,0.001,196.0,0.001,0.001,0.001,3,50,1,68.35930753313005
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_10,0.2,SCoNE,10,0.01,196.0,0.01,0.01,0.01,3,50,1,63.77093261294067
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_11,0.2,SCoNE,11,0.1,196.0,0.1,0.1,0.1,3,50,1,58.98346199095249
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_12,0.2,SCoNE,12,1.0,196.0,1.0,1.0,1.0,3,50,1,32.93003601394594
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/rho_tune_13,0.2,SCoNE,13,10.0,196.0,10.0,10.0,10.0,3,50,1,18.883583642542362
