variable,run_name,split,lambda_option,job_id,out_path
0.0,SCoNE,tune,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_0
0.0,SCoNE,tune,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_1
0.0,SCoNE,tune,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_2
0.0,SCoNE,tune,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_3
0.0,SCoNE,tune,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_4
0.0,SCoNE,tune,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_5
0.0,SCoNE,tune,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_6
0.25,SCoNE,tune,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_7
0.25,SCoNE,tune,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_8
0.25,SCoNE,tune,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_9
0.25,SCoNE,tune,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_10
0.25,SCoNE,tune,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_11
0.25,SCoNE,tune,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_12
0.25,SCoNE,tune,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_13
0.5,SCoNE,tune,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_14
0.5,SCoNE,tune,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_15
0.5,SCoNE,tune,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_16
0.5,SCoNE,tune,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_17
0.5,SCoNE,tune,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_18
0.5,SCoNE,tune,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_19
0.5,SCoNE,tune,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_20
0.75,SCoNE,tune,0.0,21,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_21
0.75,SCoNE,tune,0.0001,22,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_22
0.75,SCoNE,tune,0.001,23,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_23
0.75,SCoNE,tune,0.01,24,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_24
0.75,SCoNE,tune,0.1,25,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_25
0.75,SCoNE,tune,1.0,26,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_26
0.75,SCoNE,tune,10.0,27,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_27
0.9,SCoNE,tune,0.0,28,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_28
0.9,SCoNE,tune,0.0001,29,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_29
0.9,SCoNE,tune,0.001,30,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_30
0.9,SCoNE,tune,0.01,31,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_31
0.9,SCoNE,tune,0.1,32,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_32
0.9,SCoNE,tune,1.0,33,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_33
0.9,SCoNE,tune,10.0,34,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_34
0.0,SCoNE,train,0.0,0,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_0
0.0,SCoNE,train,0.0001,1,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_1
0.0,SCoNE,train,0.001,2,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_2
0.0,SCoNE,train,0.01,3,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_3
0.0,SCoNE,train,0.1,4,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_4
0.0,SCoNE,train,1.0,5,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_5
0.0,SCoNE,train,10.0,6,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_6
0.25,SCoNE,train,0.0,7,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_7
0.25,SCoNE,train,0.0001,8,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_8
0.25,SCoNE,train,0.001,9,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_9
0.25,SCoNE,train,0.01,10,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_10
0.25,SCoNE,train,0.1,11,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_11
0.25,SCoNE,train,1.0,12,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_12
0.25,SCoNE,train,10.0,13,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_13
0.5,SCoNE,train,0.0,14,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_14
0.5,SCoNE,train,0.0001,15,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_15
0.5,SCoNE,train,0.001,16,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_16
0.5,SCoNE,train,0.01,17,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_17
0.5,SCoNE,train,0.1,18,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_18
0.5,SCoNE,train,1.0,19,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_19
0.5,SCoNE,train,10.0,20,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_20
0.75,SCoNE,train,0.0,21,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_21
0.75,SCoNE,train,0.0001,22,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_22
0.75,SCoNE,train,0.001,23,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_23
0.75,SCoNE,train,0.01,24,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_24
0.75,SCoNE,train,0.1,25,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_25
0.75,SCoNE,train,1.0,26,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_26
0.75,SCoNE,train,10.0,27,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_27
0.9,SCoNE,train,0.0,28,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_28
0.9,SCoNE,train,0.0001,29,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_29
0.9,SCoNE,train,0.001,30,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_30
0.9,SCoNE,train,0.01,31,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_31
0.9,SCoNE,train,0.1,32,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_32
0.9,SCoNE,train,1.0,33,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_33
0.9,SCoNE,train,10.0,34,/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_34
