out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_0,0.0,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,33.07987093552947
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_1,0.0,SCoNE,1,0.0001,225.0,0.0001,0.0001,0.0001,3,50,1,59.550469156354666
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_2,0.0,SCoNE,2,0.001,225.0,0.001,0.001,0.001,3,50,1,59.95733134448528
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_3,0.0,SCoNE,3,0.01,225.0,0.01,0.01,0.01,3,50,1,46.405058808624744
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_4,0.0,SCoNE,4,0.1,225.0,0.1,0.1,0.1,3,50,1,51.083571599796414
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_5,0.0,SCoNE,5,1.0,225.0,1.0,1.0,1.0,3,50,1,35.63934431783855
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_6,0.0,SCoNE,6,10.0,225.0,10.0,10.0,10.0,3,50,1,20.909934528172016
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_7,0.25,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,31.769805008545518
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_8,0.25,SCoNE,8,0.0001,144.0,0.0001,0.0001,0.0001,3,50,1,49.4118758328259
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_9,0.25,SCoNE,9,0.001,144.0,0.001,0.001,0.001,3,50,1,49.037682665511966
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_10,0.25,SCoNE,10,0.01,144.0,0.01,0.01,0.01,3,50,1,55.43845435976982
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_11,0.25,SCoNE,11,0.1,144.0,0.1,0.1,0.1,3,50,1,41.66644176468253
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_12,0.25,SCoNE,12,1.0,144.0,1.0,1.0,1.0,3,50,1,35.44360454939306
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_13,0.25,SCoNE,13,10.0,144.0,10.0,10.0,10.0,3,50,1,24.32468356564641
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_14,0.5,SCoNE,14,0.0,0.0,0.0,0.0,0.0,3,50,1,33.497101252898574
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_15,0.5,SCoNE,15,0.0001,121.0,0.0001,0.0001,0.0001,3,50,1,43.472872857004404
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_16,0.5,SCoNE,16,0.001,121.0,0.001,0.001,0.001,3,50,1,51.96770016849041
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_17,0.5,SCoNE,17,0.01,121.0,0.01,0.01,0.01,3,50,1,39.912004148587584
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_18,0.5,SCoNE,18,0.1,121.0,0.1,0.1,0.1,3,50,1,40.48427616991103
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_19,0.5,SCoNE,19,1.0,121.0,1.0,1.0,1.0,3,50,1,31.91014790534973
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_20,0.5,SCoNE,20,10.0,121.0,10.0,10.0,10.0,3,50,1,22.037896517664194
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_21,0.75,SCoNE,21,0.0,0.0,0.0,0.0,0.0,3,50,1,31.87863747961819
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_22,0.75,SCoNE,22,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,47.97480044700205
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_train_23,0.75,SCoNE,23,0.001,196.0,0.001,0.001,0.001,3,50,1,41.85650101862848
