out_path,variable,run_name,job_id,lambda_option,alpha,lambda_W,lambda_H_G,lambda_H_C,rank,num_init,lambda_Gloss,computation_time
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_0,0.0,SCoNE,0,0.0,0.0,0.0,0.0,0.0,3,50,1,32.01042324304581
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_1,0.0,SCoNE,1,0.0001,196.0,0.0001,0.0001,0.0001,3,50,1,64.66193548217416
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_2,0.0,SCoNE,2,0.001,196.0,0.001,0.001,0.001,3,50,1,62.381825953722
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_3,0.0,SCoNE,3,0.01,196.0,0.01,0.01,0.01,3,50,1,61.961231080815196
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_4,0.0,SCoNE,4,0.1,196.0,0.1,0.1,0.1,3,50,1,48.83589758910239
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_5,0.0,SCoNE,5,1.0,196.0,1.0,1.0,1.0,3,50,1,31.85421390645206
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_6,0.0,SCoNE,6,10.0,196.0,10.0,10.0,10.0,3,50,1,21.133556043729186
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_7,0.25,SCoNE,7,0.0,0.0,0.0,0.0,0.0,3,50,1,33.38883124291897
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_8,0.25,SCoNE,8,0.0001,144.0,0.0001,0.0001,0.0001,3,50,1,56.08454607613385
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_9,0.25,SCoNE,9,0.001,144.0,0.001,0.001,0.001,3,50,1,57.32912596128881
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_10,0.25,SCoNE,10,0.01,144.0,0.01,0.01,0.01,3,50,1,54.632778499275446
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_11,0.25,SCoNE,11,0.1,144.0,0.1,0.1,0.1,3,50,1,48.917110124602914
/gpfs/commons/groups/gursoy_lab/anewbury/unsupervised_pheno/output/models/sparsity_tune_12,0.25,SCoNE,12,1.0,144.0,1.0,1.0,1.0,3,50,1,34.07575864903629
