,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4.0,6.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0
2,2.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0
4,0.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0
5,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,4.0,0.0,0.0,1.0
6,1.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0
7,3.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0
8,2.0,1.0,1.0,2.0,0.0,0.0,2.0,12.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0
9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
10,1.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0
11,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0
12,2.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
13,1.0,3.0,2.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0
14,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
15,3.0,8.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0,4.0
16,2.0,5.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0
17,1.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.0,6.0,3.0,3.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,7.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,4.0
19,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0
20,1.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0
21,1.0,6.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0
22,4.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0
23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0
24,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0
25,1.0,6.0,2.0,2.0,0.0,0.0,2.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,3.0,1.0
26,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0
27,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0
28,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
29,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0
30,3.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
31,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
32,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0
33,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0
34,0.0,4.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,2.0,0.0,6.0,1.0
35,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,11.0,4.0,0.0,2.0,0.0,4.0,5.0,3.0,1.0,1.0
36,3.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0
37,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,7.0
38,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0
39,3.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,6.0,4.0,0.0,1.0,0.0,5.0,3.0,2.0,0.0,1.0
40,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
41,4.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0
42,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
43,2.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
44,0.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0
45,0.0,5.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
46,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
47,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0
48,6.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0
49,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,6.0,2.0
50,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
51,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0
52,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0
53,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
54,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
55,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0
56,2.0,3.0,0.0,0.0,1.0,6.0,0.0,5.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0
57,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
58,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
59,4.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,9.0,1.0,2.0,2.0,0.0
60,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,0.0
61,5.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0
