,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0
1,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,3.0
3,1.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0
5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
7,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0
8,2.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,2.0
9,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0
11,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
13,2.0,0.0,2.0,1.0,2.0,5.0,2.0,0.0,2.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0
14,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0
15,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0
16,1.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,4.0
17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0
18,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,2.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0,3.0,4.0
19,8.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,3.0,0.0,6.0,3.0,5.0,4.0,1.0
20,5.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
21,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
22,1.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0
23,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0
24,1.0,3.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0
25,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,6.0,2.0,1.0,3.0,0.0,0.0
26,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
27,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
28,2.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,1.0,0.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,5.0
29,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,5.0
30,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0
31,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,3.0,0.0,4.0,0.0
32,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,2.0
33,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0
