,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3.0,0.0,6.0,1.0,4.0,0.0,2.0,0.0,5.0,5.0,5.0,5.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0
1,0.0,0.0,7.0,0.0,7.0,0.0,6.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,6.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0
3,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0
4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0
6,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
7,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0
11,0.0,1.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
12,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
13,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
